STATIONGROUP,STATIONGROUPDESCRIPTION
301,"301: I 80 1 mile E of I 215 Int., Parleys Canyon, SLC MP 129.000 FC 11"
302,302: I 15 12900 South M.P. 290.600 FC 02
303,"303: SR 91 1.5 miles N of SR 61, Webster Jct MP 45.240 FC 06"
304,"304: SR 89 0.6 mile N of SR 30, Garden City MP 499.810 FC 02"
305,"305: SR 24 0.1 mile N of SR 118, Sigurd MP 8.064 FC 07"
306,"306: I 15 2 miles N of Center Street, Provo MP 267.841 FC 11"
307,307: I 84 0.5 mile E of Mountain Green Int. MP 92.593 FC 07
308,"308: SR 40 1 mile E of POE Daniels Canyon, SLC MP 21.579 FC 02"
309,309: I 80 1 mile East of Echo Jct. MP 168.350 FC 01
310,310: I 15 3 miles S of Plymouth Int. MP 389.341 FC 01
312,"312: SR 6 4.5 miles SE of SR 89, Moark Jct. MP 182.390 FC 02"
313,313: I 15 1 mile S of Scipio Int. MP 187.083 FC 01
314,"314: SR 6 2 miles W of SR 191, Helper MP 226.966 FC 02"
315,315: I 15 1.8 miles S of Lagoon Drive Int. MP 321.545 FC 11
316,"316: SR 89 2 miles S of SR 193, Hillfield Road, Layton MP 402.695 FC 14"
317,"317: SR 210 Mouth of Little Cottonwood Canyon, SLC MP 4.166 FC 06"
318,318: I 80 1 mile W of Coalville Int. MP 161.501 FC 01
319,"319: SR 189 1 mile W of SR 92, Provo Cyn. MP 13.342 FC 02"
320,"320: SR 39 0.5 mile W of SR 158, Ogden Cyn. MP 13.243 FC 06"
321,"321: SR 6 0.25 mile W of SR 68, Elberta Jct. MP 149.650 FC 06"
322,322: SR 190 Mouth of Big Cottonwood Cyn. MP 2.460 FC 16
323,323: I 80 1 mile W of Delle Int. MP 68.690 FC 01
324,"324: SR 491 9 miles E of SR 191, Monticello MP 9.000 FC 02"
325,"325: SR 89 1087 S State Street, SLC MP 377.450 FC 16"
327,"327: SR 6 0.2 mile W of Center Street, Spanish Fork MP 174.652 FC 14"
329,"329: SR 89 3450 S Washington Blvd., Ogden MP 412.398 FC 14"
332,"332: SR 186 950 S Foothill Blvd., SLC MP 6.186 FC 14"
333,"333: SR 71 1190 S 700 E, SLC MP 21.260 FC 14"
335,"335: SR 173 950 W 5400 S, SLC MP 8.339 FC 16"
340,"340: I 80 1325 W, SLC MP 118.420 FC 11"
341,"341: I 80 1 mile E of 300 E Overpass, SLC MP 123.540 FC 11"
348,"348: I 15 0.5 mile S of 31st Street, Ogden MP 340.939 FC 11"
349,349: I 15 2 miles N of Santaquin Int. MP 246.920 FC 01
350,"350: SR 189 3200 N University Avenue, Provo MP 4.831 FC 14"
351,"351: I 215 700 W, SLC MP 11.826 FC 11"
353,"353: I 215 2800 S, SLC MP 18.500 FC 11"
354,"354: SR 171 1200 W 3300 S, SLC MP 8.800 FC 14"
355,"355: SR 171 7658 W 3500 S, Magna MP 0.900 FC 16"
362,"362: SR 89 0.2 mile W of SR 30, Garden City MP 498.231 FC 02"
363,"363: SR 91 0.8 mile N of SR 101, Wellsville MP 19.899 FC 02"
382,"382: SR 14 1.7 miles E of SR 130, Cedar City MP 1.700 FC 16"
400,400: I 15 1 mile S of Bloomington Int. MP 3.640 FC 11
401,401: I 15 1 mile S of Leeds Int. MP 22.581 FC 01
402,"402: SR 9 1.3 miles W of SR 318, Hurricane MP 1.415 FC 02"
403,403: I 15 0.5 mile N of N Beaver Int. MP 112.432 FC 01
404,"404: I 70 1 mile W of SR 6 Int., Green River MP 156.869 FC 01"
405,"405: SR 21 3 miles W of Main Street, Beaver MP 104.310 FC 06"
406,"406: SR 71 4550 S 700 E, SLC MP 16.337 FC 14"
407,"407: SR 68 2 miles N of Utah County Line, Bluffdale MP 38.593 FC 16"
408,"408: SR 68 1200 S Redwood Road, SLC MP 57.436 FC 16"
409,"409: Route 2330 1200 W North Temple, SLC MP 1.690 FC 16"
411,411: SR 89 7 miles E of Kanab MP 54.009 FC 02
412,412: SR 89A 2 miles S of Kanab MP 0.010 FC 06
414,"414: SR 95 0.2 mile S of SR 24, Hanksville MP 0.225 FC 06"
